"index","PROBEID","SYMBOL","GENENAME"
"Mouse list",NA,NA,NA
"41","226497_s_at","FLT1","fms related receptor tyrosine kinase 1"
"51","212817_at","DNAJB5","DnaJ heat shock protein family (Hsp40) member B5"
"55","204457_s_at","GAS1","growth arrest specific 1"
"68","230218_at","HIC1","HIC ZBTB transcriptional repressor 1"
"74","212143_s_at","IGFBP3","insulin like growth factor binding protein 3"
"87","209305_s_at","GADD45B","growth arrest and DNA damage inducible beta"
"109","225163_at","FRMD4A","FERM domain containing 4A"
"131","201150_s_at","TIMP3","TIMP metallopeptidase inhibitor 3"
"146","226075_at","SPSB1","splA/ryanodine receptor domain and SOCS box containing 1"
"155","206227_at","CILP","cartilage intermediate layer protein"
"171","204589_at","NUAK1","NUAK family kinase 1"
"Not Mouse list",NA,NA,NA
"224","219510_at","POLQ","DNA polymerase theta"
"337","208978_at","CRIP2","cysteine rich protein 2"
"723","227358_at","ZBTB46","zinc finger and BTB domain containing 46"
"945","204787_at","VSIG4","V-set and immunoglobulin domain containing 4"
"984","201105_at","LGALS1","galectin 1"
