"method","sim","n","betamin","kappa.o","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time","sel.model","cv.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size"
"EBIC",1,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.0456932042406","7.01296257613131","5.0327306281093","6.326","1,2,3,4,5,6,7,53,149,150,151,152,153",1.4756064318167,FALSE,1,0,0,1,13
"EBIC",10,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.2098147227822","7.19202035541061","5.01779436737157","3.139","1,2,3,4,5,6,7,149,150,151,152,153",1.06403861798544,FALSE,0,0,0,1,12
"EBIC",100,100,0.33,"2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","11.7098947089235","6.6836491735684","5.02624553535507","2.322","1,2,3,4,5,6,7,149,150,151,152,153",1.31203314331404,FALSE,0,0,0,1,12
"EBIC",11,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.9753964436737","7.40544233021861","5.56995411345506","5.584","1,2,3,4,5,6,7,29,148,149,150,151,152,153",1.15424588587016,FALSE,1,0,0,0,14
"EBIC",12,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.2349045033903","7.22251746500118","5.01238703838914","3.081","1,2,3,4,5,6,7,149,150,151,152,153",1.16001570567312,FALSE,0,0,0,1,12
"EBIC",13,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.4049034672421","7.37820607538571","5.02669739185639","3.072","1,2,3,4,5,6,7,42,145,149,150,151,152,153",1.40594489748825,FALSE,2,0,0,1,14
"EBIC",14,100,0.33,"1,2,3,4,5,6,7,148,149,150,151,152,153","TRUE","TRUE","FALSE","13.6538006853959","7.24356114052772","6.41023954486823","5.902","1,2,3,4,5,6,7,148,149,150,151,152,153,161",1.16648004237501,FALSE,0,1,0,0,14
"EBIC",15,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.6562168118871","7.55462917477923","5.10158763710783","5.09","1,2,3,4,5,6,7,78,102,148,149,150,151,152,153",1.28934968695599,FALSE,2,0,0,0,15
"EBIC",16,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.2766621564238","7.24869674032271","5.0279654161011","3.07","1,2,3,4,5,6,7,149,150,151,152,153",1.41578092576187,FALSE,0,0,0,1,12
"EBIC",17,100,0.33,"1,2,3,4,5,6,7,149,150,151,152,153","TRUE","TRUE","FALSE","12.3325364408477","7.3084650972896","5.0240713435581","3.377","1,2,3,4,5,6,7,32,149,150,151,152,153",1.14914166572592,FALSE,1,0,0,1,13
