"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI","nb.tII","est.size","FP","TP","FDR","power"
"EBIC",1,300,0.5,"TRUE","TRUE","FALSE","17.3992705295085","8.6761301879379","8.72314034157063","6.375","0.233","0.797","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000489119054076153,TRUE,0,0,18,0,18,0,1
"EBIC",10,300,0.5,"TRUE","TRUE","FALSE","17.6692190097831","8.61680930115876","9.05240970862437","5.884","0.241","0.724","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000245278524267066,TRUE,0,0,18,0,18,0,1
"EBIC",100,300,0.5,"TRUE","TRUE","FALSE","17.4602220086689","9.06680051031999","8.3934214983489","4.984","0.173","0.619","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000647983617764706,TRUE,0,0,18,0,18,0,1
"EBIC",11,300,0.5,"TRUE","TRUE","FALSE","18.118771450866","9.0589017890942","9.05986966177175","5.174","0.329","0.889","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000200519334921894,TRUE,0,0,18,0,18,0,1
"EBIC",12,300,0.5,"TRUE","TRUE","FALSE","18.1482100042973","9.09189689445302","9.05631310984424","5.655","0.254","0.895","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168,293",0.000716112611572569,FALSE,1,0,19,1,18,0.0526315789473684,1
"EBIC",13,300,0.5,"TRUE","TRUE","FALSE","18.1157826938769","9.0620220416972","9.05376065217971","4.568","0.214","0.758","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000482463485324846,TRUE,0,0,18,0,18,0,1
"EBIC",14,300,0.5,"TRUE","TRUE","FALSE","17.2632403425107","8.2111462129357","9.05209412957503","5.034","0.246","0.843","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000525681738319688,TRUE,0,0,18,0,18,0,1
"EBIC",15,300,0.5,"TRUE","TRUE","FALSE","18.1180709155008","9.06391997857396","9.05415093692685","4.621","0.231","0.725","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000405553036405782,TRUE,0,0,18,0,18,0,1
"EBIC",16,300,0.5,"TRUE","TRUE","FALSE","18.1106322183854","9.07403218173099","9.03660003665442","5.135","0.214","0.705","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000294257869274287,TRUE,0,0,18,0,18,0,1
"EBIC",17,300,0.5,"TRUE","TRUE","FALSE","18.1362238749014","9.06966428948108","9.0665595854203","4.484","0.236","0.681","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000492581904980689,TRUE,0,0,18,0,18,0,1
"EBIC",18,300,0.5,"TRUE","TRUE","FALSE","18.1403364270829","9.06187677372454","9.07845965335837","4.675","0.228","0.719","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000536467132036482,TRUE,0,0,18,0,18,0,1
"EBIC",19,300,0.5,"TRUE","TRUE","FALSE","17.1950705275132","8.74903605850978","8.44603446900344","7.203","0.236","0.863","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000528462202663396,TRUE,0,0,18,0,18,0,1
"EBIC",2,300,0.5,"TRUE","TRUE","FALSE","18.000419523057","9.0773341941176","8.92308532893942","5.412","0.232","0.727","1,2,3,4,5,6,7,8,9,160,161,162,163,164,165,166,167,168",0.000235987059290698,TRUE,0,0,18,0,18,0,1
"EBIC",20,300,0.5,"TRUE","TRUE","FALSE","18.2214792180316","9.13209439983436","9.0893848181972","5.053","0.234","0.708","1,2,3,4,5,6,7,8,9,37,160,161,162,163,164,165,166,167,168",0.000556047944740186,FALSE,1,0,19,1,18,0.0526315789473684,1
