"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,700,0.33,"TRUE","TRUE","FALSE","19.7481072670628","9.74569497044951","10.0024122966133","14.748","0.513","1.152","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.87134962341916e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",10,700,0.33,"TRUE","TRUE","FALSE","20.1195032979279","10.1167545179048","10.0027487800231","13.104","0.522","1.143","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.97802513226261e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",100,700,0.33,"TRUE","TRUE","FALSE","20.1060323415112","10.1042368498574","10.0017954916538","12.667","0.506","1.136","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.181596417624e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",11,700,0.33,"TRUE","TRUE","FALSE","20.2897987119268","10.2864117190165","10.0033869929103","15.081","0.49","1.045","1,2,3,4,5,6,7,8,9,10,462,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",9.90025473250765e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",12,700,0.33,"TRUE","TRUE","FALSE","20.0924431081571","10.0906986431615","10.0017444649956","12.91","0.502","1.293","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.55531138801286e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",13,700,0.33,"TRUE","TRUE","FALSE","20.1211204524169","10.1195694052258","10.0015510471911","13.258","0.537","1.238","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.25612260775631e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",14,700,0.33,"TRUE","TRUE","FALSE","20.1163648601412","10.1150267462084","10.0013381139328","12.804","0.514","1.137","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.77852756384716e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",15,700,0.33,"TRUE","TRUE","FALSE","20.3019792367367","10.1038740554593","10.1981051812774","13.928","0.51","1.161","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1060",0.000135462183601119,FALSE,0,1,0,0,21,1,20,0.0476190476190476,1
"EBIC",16,700,0.33,"TRUE","TRUE","FALSE","20.1565400186807","10.1544967371997","10.002043281481","13.346","0.63","1.349","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.79044993119475e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",17,700,0.33,"TRUE","TRUE","FALSE","20.1198030408678","10.1147292870752","10.0050737537926","13.734","0.53","1.223","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",7.8517984891991e-05,TRUE,0,0,0,0,20,0,20,0,1
