"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,20,0.2,"FALSE","FALSE","FALSE","4.41195679998213","2.80940936576081","1.60254743422132","0.136","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.534701638766599,FALSE,7,2,0,0,17,9,8,0.529411764705882,1
"EBIC",10,20,0.2,"FALSE","FALSE","FALSE","3.48385965316642","2.2198575169618","1.26400213620463","0.098","1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17",0.168564183580275,FALSE,6,2,0,0,16,8,8,0.5,1
"EBIC",100,20,0.2,"FALSE","FALSE","FALSE","3.17656289932886","2.02699889353154","1.14956400579732","0.138","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.338334511770825,FALSE,7,2,0,0,17,9,8,0.529411764705882,1
"EBIC",11,20,0.2,"FALSE","FALSE","FALSE","3.55860579997376","2.7832833093099","0.775322490663861","0.092","2,4,7,9,13",0.203809632123982,FALSE,2,0,2,3,5,2,3,0.4,0.375
"EBIC",12,20,0.2,"FALSE","FALSE","FALSE","3.17645761011866","1.68964531918983","1.48681229092883","0.1","4,6,12,13",0.332703719940574,FALSE,1,0,3,2,4,1,3,0.25,0.375
"EBIC",13,20,0.2,"FALSE","FALSE","FALSE","2.93696491730512","2.6941081300509","0.242856787254216","0.082","2,4,11",0.281723505535827,FALSE,1,0,2,4,3,1,2,0.333333333333333,0.25
"EBIC",14,20,0.2,"FALSE","FALSE","FALSE","3.9492068803581","3.41644686435178","0.532760016006317","0.094","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.431993566969905,FALSE,7,2,0,0,17,9,8,0.529411764705882,1
"EBIC",15,20,0.2,"TRUE","TRUE","FALSE","3.73951356114614","2.76804081485697","0.971472746289173","0.099","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.834107943700726,FALSE,7,2,0,0,17,9,8,0.529411764705882,1
"EBIC",16,20,0.2,"FALSE","FALSE","FALSE","3.69895193771703","2.13969711107368","1.55925482664336","0.103","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.968264191865026,FALSE,7,2,0,0,17,9,8,0.529411764705882,1
"EBIC",17,20,0.2,"FALSE","FALSE","FALSE","4.03136274367877","3.05869248739604","0.972670256282722","0.086","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.529058445152122,FALSE,7,2,0,0,17,9,8,0.529411764705882,1
