"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,200,0.33,"TRUE","TRUE","FALSE","14.1332198218499","6.12735148620953","8.00586833564037","0.399","0.053","0.281","2,3,4,6,7,8,101,102,103,104,105,106,107,108",0.00385379923789721,FALSE,0,0,2,0,14,0,14,0,0.875
"EBIC",10,200,0.33,"TRUE","TRUE","FALSE","14.5156694550523","6.50909706806594","8.00657238698639","0.46","0.06","0.29","2,3,4,5,6,7,8,101,102,103,104,105,106,107,108",0.0011452151415009,FALSE,0,0,1,0,15,0,15,0,0.9375
"EBIC",100,200,0.33,"TRUE","TRUE","FALSE","13.6086806436505","5.652451900425","7.95622874322552","0.568","0.054","0.282","1,2,3,4,6,7,8,14,101,102,103,104,105,106,107,108",0.00689626667325441,FALSE,1,0,1,0,16,1,15,0.0625,0.9375
"EBIC",11,200,0.33,"TRUE","TRUE","FALSE","14.5860616603635","6.57102270658521","8.01503895377824","0.498","0.055","0.245","2,3,4,5,6,7,8,101,102,103,104,105,106,107,108",0.00217835780676965,FALSE,0,0,1,0,15,0,15,0,0.9375
"EBIC",12,200,0.33,"TRUE","TRUE","FALSE","15.2595088839683","7.27443674866478","7.98507213530351","0.458","0.052","0.288","2,3,4,5,6,7,8,66,101,102,103,104,105,106,107,108",0.00236192166671742,FALSE,1,0,1,0,16,1,15,0.0625,0.9375
"EBIC",13,200,0.33,"FALSE","FALSE","FALSE","13.677550845035","5.66941166992035","8.00813917511463","0.632","0.06","0.291","2,3,4,5,6,7,8,101,102,103,104,105,106,107,108",0.00302178574464822,FALSE,0,0,1,0,15,0,15,0,0.9375
"EBIC",14,200,0.33,"TRUE","TRUE","FALSE","15.0168147519721","7.0087816477021","8.00803310427002","0.504","0.052","0.293","2,3,4,5,6,7,8,101,102,103,104,105,106,107,108",0.00199260484369006,FALSE,0,0,1,0,15,0,15,0,0.9375
"EBIC",15,200,0.33,"TRUE","TRUE","FALSE","14.7459550705305","6.74393759241655","8.00201747811392","0.537","0.05","0.287","1,2,3,4,5,6,7,8,64,101,102,103,104,105,106,107,108",0.00197328556358133,FALSE,1,0,0,0,17,1,16,0.0588235294117647,1
"EBIC",16,200,0.33,"TRUE","TRUE","FALSE","14.4775789195065","6.60957258417635","7.86800633533013","0.542","0.055","0.293","2,3,4,5,6,7,8,101,102,103,104,105,106,107,108",0.00193055629090427,FALSE,0,0,1,0,15,0,15,0,0.9375
"EBIC",17,200,0.33,"TRUE","TRUE","FALSE","14.6187897094651","6.58818099442299","8.03060871504212","0.61","0.055","0.315","2,3,4,5,6,7,8,101,102,103,104,105,106,107,108",0.00123729856313616,FALSE,0,0,1,0,15,0,15,0,0.9375
"EBIC",18,200,0.33,"TRUE","TRUE","FALSE","14.6298172394162","6.62178358183314","8.00803365758303","0.528","0.054","0.281","2,3,4,5,6,7,8,30,101,102,103,104,105,106,107,108",0.00291756941942369,FALSE,1,0,1,0,16,1,15,0.0625,0.9375
