"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI","nb.tII","est.size","FP","TP","FDR","power"
"EBIC",1,80,0.33,"FALSE","FALSE","FALSE","9.62692269201228","0.0208074238034501","9.60611526820883","0.796","0.051","0.054","1,2,3,4,5,6,8,9,10,11,12,13",0.00433620248503302,FALSE,0,1,12,0,12,0,0.923076923076923
"EBIC",10,80,0.33,"FALSE","FALSE","FALSE","9.99850604923115","0.0366357325557693","9.96187031667538","1.083","0.067","0.064","3,4,5,6,7,9,10,11,12,13,93,112",0.0164436544244525,FALSE,2,3,12,2,10,0.166666666666667,0.769230769230769
"EBIC",100,80,0.33,"FALSE","FALSE","FALSE","9.12943987871155","0.0165697219116354","9.11287015679991","0.825","0.065","0.074","1,2,3,4,5,6,10,11,12,39",0.0169722299473472,FALSE,1,4,10,1,9,0.1,0.692307692307692
"EBIC",11,80,0.33,"FALSE","FALSE","FALSE","9.22970378846761","0.0678609595558867","9.16184282891172","1.285","0.054","0.058","3,4,5,6,8,10,12,108,125,127",0.0296562620547139,FALSE,3,6,10,3,7,0.3,0.538461538461538
"EBIC",12,80,0.33,"FALSE","FALSE","FALSE","8.49073260304369","0.0356040428744529","8.45512856016924","0.702","0.039","0.056","1,3,5,6,10,11,12,13,104",0.0174094655356961,FALSE,1,5,9,1,8,0.111111111111111,0.615384615384615
"EBIC",13,80,0.33,"FALSE","FALSE","FALSE","7.83479415017662","0.171337915987291","7.66345623418933","0.928","0.064","0.047","1,3,5,6,10,11,12,13",0.0210477907048522,FALSE,0,5,8,0,8,0,0.615384615384615
"EBIC",14,80,0.33,"FALSE","FALSE","FALSE","8.07993099801761","0.0240446601492346","8.05588633786838","0.752","0.035","0.049","1,3,4,5,6,7,8,10,11,12,13",0.0075425653108249,FALSE,0,2,11,0,11,0,0.846153846153846
"EBIC",15,80,0.33,"FALSE","FALSE","FALSE","9.37704967929672","0.032748032795291","9.34430164650143","1.029","0.067","0.057","1,2,4,5,6,7,8,9,10,11,12,13",0.00548970185960848,FALSE,0,1,12,0,12,0,0.923076923076923
"EBIC",16,80,0.33,"FALSE","FALSE","FALSE","8.31764734008224","0.0484605911348172","8.26918674894742","0.954","0.055","0.063","1,3,5,6,8,10,11,12,39,50,124",0.0375284406792213,FALSE,3,5,11,3,8,0.272727272727273,0.615384615384615
"EBIC",17,80,0.33,"FALSE","FALSE","FALSE","8.20309828240001","0.0326736523713328","8.17042463002868","1.374","0.07","0.077","1,2,3,5,6,10,11,12,94",0.0199468813775361,FALSE,1,5,9,1,8,0.111111111111111,0.615384615384615
